machine_id,RUL,usine,ligne_production,machine_uid
38,22,1,2,38_1_2
39,8,1,2,39_1_2
40,41,1,2,40_1_2
41,131,1,2,41_1_2
42,115,1,2,42_1_2
43,128,1,2,43_1_2
44,69,1,2,44_1_2
45,111,1,2,45_1_2
46,7,1,2,46_1_2
47,137,1,2,47_1_2
48,55,1,2,48_1_2
49,135,1,2,49_1_2
50,11,1,2,50_1_2
51,78,1,2,51_1_2
52,120,1,2,52_1_2
53,87,1,2,53_1_2
54,87,1,2,54_1_2
55,55,1,2,55_1_2
56,93,1,2,56_1_2
57,88,1,2,57_1_2
58,40,1,2,58_1_2
59,49,1,2,59_1_2
60,128,1,2,60_1_2
61,129,1,2,61_1_2
62,58,1,2,62_1_2
63,117,1,2,63_1_2
64,28,1,2,64_1_2
65,115,1,2,65_1_2
66,87,1,2,66_1_2
67,92,1,2,67_1_2
68,103,1,2,68_1_2
69,100,1,2,69_1_2
70,63,1,2,70_1_2
71,35,1,2,71_1_2
72,45,1,2,72_1_2
73,99,1,2,73_1_2
74,117,1,2,74_1_2
75,45,1,2,75_1_2
76,27,1,2,76_1_2
77,86,1,2,77_1_2
78,20,1,2,78_1_2
79,18,1,2,79_1_2
80,133,1,2,80_1_2
81,15,1,2,81_1_2
82,6,1,2,82_1_2
83,145,1,2,83_1_2
84,104,1,2,84_1_2
85,56,1,2,85_1_2
86,25,1,2,86_1_2
87,68,1,2,87_1_2
88,144,1,2,88_1_2
89,41,1,2,89_1_2
90,51,1,2,90_1_2
91,81,1,2,91_1_2
92,14,1,2,92_1_2
93,67,1,2,93_1_2
94,10,1,2,94_1_2
95,127,1,2,95_1_2
96,113,1,2,96_1_2
97,123,1,2,97_1_2
98,17,1,2,98_1_2
99,8,1,2,99_1_2
100,28,1,2,100_1_2
