machine_id,RUL,usine,ligne_production,machine_uid
113,151,2,1,113_2_1
114,78,2,1,114_2_1
115,91,2,1,115_2_1
116,7,2,1,116_2_1
117,181,2,1,117_2_1
118,150,2,1,118_2_1
119,106,2,1,119_2_1
120,15,2,1,120_2_1
121,67,2,1,121_2_1
122,145,2,1,122_2_1
123,180,2,1,123_2_1
124,7,2,1,124_2_1
125,179,2,1,125_2_1
126,124,2,1,126_2_1
127,82,2,1,127_2_1
128,108,2,1,128_2_1
129,79,2,1,129_2_1
130,121,2,1,130_2_1
131,120,2,1,131_2_1
132,39,2,1,132_2_1
133,38,2,1,133_2_1
134,9,2,1,134_2_1
135,167,2,1,135_2_1
136,87,2,1,136_2_1
137,88,2,1,137_2_1
138,7,2,1,138_2_1
139,51,2,1,139_2_1
140,55,2,1,140_2_1
141,155,2,1,141_2_1
142,47,2,1,142_2_1
143,81,2,1,143_2_1
144,43,2,1,144_2_1
145,98,2,1,145_2_1
146,10,2,1,146_2_1
147,92,2,1,147_2_1
148,11,2,1,148_2_1
149,165,2,1,149_2_1
150,34,2,1,150_2_1
151,115,2,1,151_2_1
152,59,2,1,152_2_1
153,99,2,1,153_2_1
154,103,2,1,154_2_1
155,108,2,1,155_2_1
156,83,2,1,156_2_1
157,171,2,1,157_2_1
158,15,2,1,158_2_1
159,9,2,1,159_2_1
160,42,2,1,160_2_1
161,13,2,1,161_2_1
162,41,2,1,162_2_1
163,88,2,1,163_2_1
164,14,2,1,164_2_1
165,155,2,1,165_2_1
166,188,2,1,166_2_1
167,96,2,1,167_2_1
168,82,2,1,168_2_1
169,135,2,1,169_2_1
170,182,2,1,170_2_1
171,36,2,1,171_2_1
172,107,2,1,172_2_1
173,14,2,1,173_2_1
174,95,2,1,174_2_1
175,142,2,1,175_2_1
176,23,2,1,176_2_1
177,6,2,1,177_2_1
178,144,2,1,178_2_1
179,35,2,1,179_2_1
180,97,2,1,180_2_1
181,68,2,1,181_2_1
182,14,2,1,182_2_1
183,67,2,1,183_2_1
184,191,2,1,184_2_1
185,19,2,1,185_2_1
186,10,2,1,186_2_1
187,158,2,1,187_2_1
188,183,2,1,188_2_1
189,43,2,1,189_2_1
190,12,2,1,190_2_1
191,148,2,1,191_2_1
192,13,2,1,192_2_1
193,37,2,1,193_2_1
194,122,2,1,194_2_1
195,80,2,1,195_2_1
196,93,2,1,196_2_1
197,132,2,1,197_2_1
198,32,2,1,198_2_1
199,103,2,1,199_2_1
200,174,2,1,200_2_1
201,111,2,1,201_2_1
202,68,2,1,202_2_1
203,192,2,1,203_2_1
204,121,2,1,204_2_1
205,134,2,1,205_2_1
206,48,2,1,206_2_1
207,85,2,1,207_2_1
208,8,2,1,208_2_1
209,23,2,1,209_2_1
210,8,2,1,210_2_1
211,6,2,1,211_2_1
212,57,2,1,212_2_1
213,83,2,1,213_2_1
214,172,2,1,214_2_1
215,101,2,1,215_2_1
216,81,2,1,216_2_1
217,86,2,1,217_2_1
218,165,2,1,218_2_1
219,73,2,1,219_2_1
220,121,2,1,220_2_1
221,139,2,1,221_2_1
222,75,2,1,222_2_1
223,151,2,1,223_2_1
224,145,2,1,224_2_1
225,11,2,1,225_2_1
226,108,2,1,226_2_1
227,14,2,1,227_2_1
228,126,2,1,228_2_1
229,61,2,1,229_2_1
230,85,2,1,230_2_1
231,8,2,1,231_2_1
232,101,2,1,232_2_1
233,153,2,1,233_2_1
234,89,2,1,234_2_1
235,190,2,1,235_2_1
236,12,2,1,236_2_1
237,62,2,1,237_2_1
238,134,2,1,238_2_1
239,101,2,1,239_2_1
240,121,2,1,240_2_1
241,167,2,1,241_2_1
242,17,2,1,242_2_1
243,161,2,1,243_2_1
244,181,2,1,244_2_1
245,16,2,1,245_2_1
246,152,2,1,246_2_1
247,148,2,1,247_2_1
248,56,2,1,248_2_1
249,111,2,1,249_2_1
250,23,2,1,250_2_1
251,84,2,1,251_2_1
252,12,2,1,252_2_1
253,43,2,1,253_2_1
254,48,2,1,254_2_1
255,122,2,1,255_2_1
256,191,2,1,256_2_1
257,56,2,1,257_2_1
258,131,2,1,258_2_1
259,51,2,1,259_2_1
1,22,2,2,1_2_2
2,39,2,2,2_2_2
3,107,2,2,3_2_2
4,75,2,2,4_2_2
5,149,2,2,5_2_2
6,78,2,2,6_2_2
7,94,2,2,7_2_2
8,14,2,2,8_2_2
9,99,2,2,9_2_2
10,162,2,2,10_2_2
11,143,2,2,11_2_2
12,7,2,2,12_2_2
13,71,2,2,13_2_2
14,105,2,2,14_2_2
15,12,2,2,15_2_2
16,160,2,2,16_2_2
17,162,2,2,17_2_2
18,104,2,2,18_2_2
19,194,2,2,19_2_2
20,82,2,2,20_2_2
21,91,2,2,21_2_2
22,11,2,2,22_2_2
23,26,2,2,23_2_2
24,142,2,2,24_2_2
25,39,2,2,25_2_2
26,92,2,2,26_2_2
27,76,2,2,27_2_2
28,124,2,2,28_2_2
29,64,2,2,29_2_2
30,118,2,2,30_2_2
31,6,2,2,31_2_2
32,22,2,2,32_2_2
33,147,2,2,33_2_2
34,126,2,2,34_2_2
35,36,2,2,35_2_2
36,73,2,2,36_2_2
37,89,2,2,37_2_2
38,11,2,2,38_2_2
39,151,2,2,39_2_2
40,10,2,2,40_2_2
41,97,2,2,41_2_2
42,30,2,2,42_2_2
43,42,2,2,43_2_2
44,60,2,2,44_2_2
45,85,2,2,45_2_2
46,134,2,2,46_2_2
47,34,2,2,47_2_2
48,45,2,2,48_2_2
49,24,2,2,49_2_2
50,86,2,2,50_2_2
51,119,2,2,51_2_2
52,151,2,2,52_2_2
53,142,2,2,53_2_2
54,176,2,2,54_2_2
55,157,2,2,55_2_2
56,67,2,2,56_2_2
57,97,2,2,57_2_2
58,8,2,2,58_2_2
59,154,2,2,59_2_2
60,139,2,2,60_2_2
61,51,2,2,61_2_2
62,33,2,2,62_2_2
63,184,2,2,63_2_2
64,46,2,2,64_2_2
65,12,2,2,65_2_2
66,133,2,2,66_2_2
67,46,2,2,67_2_2
68,46,2,2,68_2_2
69,12,2,2,69_2_2
70,33,2,2,70_2_2
71,15,2,2,71_2_2
72,176,2,2,72_2_2
73,23,2,2,73_2_2
74,89,2,2,74_2_2
75,124,2,2,75_2_2
76,163,2,2,76_2_2
77,25,2,2,77_2_2
78,74,2,2,78_2_2
79,78,2,2,79_2_2
80,114,2,2,80_2_2
81,96,2,2,81_2_2
82,10,2,2,82_2_2
83,172,2,2,83_2_2
84,166,2,2,84_2_2
85,115,2,2,85_2_2
86,70,2,2,86_2_2
87,94,2,2,87_2_2
88,56,2,2,88_2_2
89,86,2,2,89_2_2
90,96,2,2,90_2_2
91,50,2,2,91_2_2
92,73,2,2,92_2_2
93,154,2,2,93_2_2
94,129,2,2,94_2_2
95,171,2,2,95_2_2
96,71,2,2,96_2_2
97,105,2,2,97_2_2
98,113,2,2,98_2_2
99,37,2,2,99_2_2
100,7,2,2,100_2_2
101,13,2,2,101_2_2
102,22,2,2,102_2_2
103,9,2,2,103_2_2
104,120,2,2,104_2_2
105,100,2,2,105_2_2
106,107,2,2,106_2_2
107,41,2,2,107_2_2
108,153,2,2,108_2_2
109,126,2,2,109_2_2
110,59,2,2,110_2_2
111,18,2,2,111_2_2
112,66,2,2,112_2_2
113,13,2,2,113_2_2
114,14,2,2,114_2_2
115,139,2,2,115_2_2
116,13,2,2,116_2_2
117,75,2,2,117_2_2
118,8,2,2,118_2_2
119,109,2,2,119_2_2
120,137,2,2,120_2_2
121,41,2,2,121_2_2
122,192,2,2,122_2_2
123,23,2,2,123_2_2
124,86,2,2,124_2_2
125,184,2,2,125_2_2
126,15,2,2,126_2_2
127,195,2,2,127_2_2
128,126,2,2,128_2_2
129,120,2,2,129_2_2
130,165,2,2,130_2_2
131,101,2,2,131_2_2
132,116,2,2,132_2_2
133,126,2,2,133_2_2
134,36,2,2,134_2_2
135,7,2,2,135_2_2
136,122,2,2,136_2_2
137,159,2,2,137_2_2
138,88,2,2,138_2_2
139,173,2,2,139_2_2
140,146,2,2,140_2_2
141,130,2,2,141_2_2
142,108,2,2,142_2_2
143,53,2,2,143_2_2
144,162,2,2,144_2_2
145,59,2,2,145_2_2
146,100,2,2,146_2_2
147,56,2,2,147_2_2
148,145,2,2,148_2_2
149,76,2,2,149_2_2
150,57,2,2,150_2_2
151,31,2,2,151_2_2
152,88,2,2,152_2_2
153,173,2,2,153_2_2
154,34,2,2,154_2_2
155,7,2,2,155_2_2
156,133,2,2,156_2_2
157,172,2,2,157_2_2
158,6,2,2,158_2_2
159,22,2,2,159_2_2
160,83,2,2,160_2_2
161,82,2,2,161_2_2
162,84,2,2,162_2_2
163,95,2,2,163_2_2
164,174,2,2,164_2_2
165,111,2,2,165_2_2
166,72,2,2,166_2_2
167,109,2,2,167_2_2
168,87,2,2,168_2_2
169,179,2,2,169_2_2
170,158,2,2,170_2_2
171,126,2,2,171_2_2
172,12,2,2,172_2_2
173,8,2,2,173_2_2
174,10,2,2,174_2_2
175,123,2,2,175_2_2
176,103,2,2,176_2_2
177,12,2,2,177_2_2
178,106,2,2,178_2_2
179,12,2,2,179_2_2
180,32,2,2,180_2_2
181,37,2,2,181_2_2
182,116,2,2,182_2_2
183,15,2,2,183_2_2
184,10,2,2,184_2_2
185,46,2,2,185_2_2
186,142,2,2,186_2_2
187,24,2,2,187_2_2
188,135,2,2,188_2_2
189,56,2,2,189_2_2
190,43,2,2,190_2_2
191,178,2,2,191_2_2
192,71,2,2,192_2_2
193,104,2,2,193_2_2
194,15,2,2,194_2_2
195,166,2,2,195_2_2
196,89,2,2,196_2_2
197,36,2,2,197_2_2
198,11,2,2,198_2_2
199,92,2,2,199_2_2
200,96,2,2,200_2_2
201,59,2,2,201_2_2
202,13,2,2,202_2_2
203,167,2,2,203_2_2
204,151,2,2,204_2_2
205,154,2,2,205_2_2
206,109,2,2,206_2_2
207,116,2,2,207_2_2
208,91,2,2,208_2_2
209,11,2,2,209_2_2
210,88,2,2,210_2_2
211,108,2,2,211_2_2
212,76,2,2,212_2_2
213,14,2,2,213_2_2
214,89,2,2,214_2_2
215,145,2,2,215_2_2
216,17,2,2,216_2_2
217,66,2,2,217_2_2
218,154,2,2,218_2_2
219,41,2,2,219_2_2
220,182,2,2,220_2_2
221,73,2,2,221_2_2
222,39,2,2,222_2_2
223,58,2,2,223_2_2
224,14,2,2,224_2_2
225,145,2,2,225_2_2
226,88,2,2,226_2_2
227,162,2,2,227_2_2
228,189,2,2,228_2_2
229,120,2,2,229_2_2
230,98,2,2,230_2_2
231,33,2,2,231_2_2
232,184,2,2,232_2_2
233,110,2,2,233_2_2
234,68,2,2,234_2_2
235,24,2,2,235_2_2
236,75,2,2,236_2_2
237,18,2,2,237_2_2
238,16,2,2,238_2_2
239,166,2,2,239_2_2
240,98,2,2,240_2_2
241,176,2,2,241_2_2
242,81,2,2,242_2_2
243,118,2,2,243_2_2
244,35,2,2,244_2_2
245,131,2,2,245_2_2
246,194,2,2,246_2_2
247,112,2,2,247_2_2
248,26,2,2,248_2_2
